Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Protein accession	Protein length	Locus tag
NC_059186.1	2799435	2799516	LG5	minus	tRNA-Ser	Trnas-cga	123473606	tRNA				
NC_059186.1	2799670	2799743	LG5	minus	tRNA-Ile	Trnai-aau	123473607	tRNA				
NC_059186.1	2800077	2800158	LG5	minus	tRNA-Ser	Trnas-cga	123473608	tRNA				
NC_059186.1	2800719	2800800	LG5	minus	tRNA-Ser	Trnas-cga	123473609	tRNA				
NC_059186.1	2801361	2801442	LG5	minus	tRNA-Ser	Trnas-cga	123473610	tRNA				
NC_059186.1	2801596	2801669	LG5	minus	tRNA-Ile	Trnai-aau	123473611	tRNA				
NC_059186.1	2802003	2802084	LG5	minus	tRNA-Ser	Trnas-cga	123473612	tRNA				
NC_059186.1	2802238	2802311	LG5	minus	tRNA-Ile	Trnai-aau	123473613	tRNA				
NC_059186.1	2802645	2802726	LG5	minus	tRNA-Ser	Trnas-cga	123473614	tRNA				
NC_059186.1	2802880	2802953	LG5	minus	tRNA-Ile	Trnai-aau	123473615	tRNA				
NC_059186.1	2803287	2803368	LG5	minus	tRNA-Ser	Trnas-cga	123473617	tRNA				
NC_059186.1	2803522	2803595	LG5	minus	tRNA-Ile	Trnai-aau	123473618	tRNA				
NC_059186.1	2803929	2804010	LG5	minus	tRNA-Ser	Trnas-cga	123473619	tRNA				
NC_059186.1	2804164	2804237	LG5	minus	tRNA-Ile	Trnai-aau	123473621	tRNA				
NC_059186.1	2804571	2804652	LG5	minus	tRNA-Ser	Trnas-cga	123473622	tRNA				
NC_059186.1	2804806	2804879	LG5	minus	tRNA-Ile	Trnai-aau	123473002	tRNA				
NC_059186.1	2805213	2805294	LG5	minus	tRNA-Ser	Trnas-cga	123473003	tRNA				
NC_059186.1	2805448	2805521	LG5	minus	tRNA-Ile	Trnai-aau	123473004	tRNA				
NC_059186.1	2805855	2805936	LG5	minus	tRNA-Ser	Trnas-cga	123473005	tRNA				
NC_059186.1	2806090	2806163	LG5	minus	tRNA-Ile	Trnai-aau	123473006	tRNA				
NC_059186.1	2806497	2806578	LG5	minus	tRNA-Ser	Trnas-cga	123473008	tRNA				
NC_059186.1	2806732	2806805	LG5	minus	tRNA-Ile	Trnai-aau	123473009	tRNA				
NC_059186.1	2807139	2807220	LG5	minus	tRNA-Ser	Trnas-cga	123473010	tRNA				
NC_059186.1	2807374	2807447	LG5	minus	tRNA-Ile	Trnai-aau	123473011	tRNA				
NC_059186.1	2807781	2807862	LG5	minus	tRNA-Ser	Trnas-cga	123473012	tRNA				
NC_059186.1	2808486	2808567	LG5	minus	tRNA-Ser	Trnas-cga	123473013	tRNA				
NC_059186.1	2808721	2808794	LG5	minus	tRNA-Ile	Trnai-aau	123473014	tRNA				
NC_059186.1	2809128	2809209	LG5	minus	tRNA-Ser	Trnas-cga	123473015	tRNA				
NC_059186.1	2809363	2809436	LG5	minus	tRNA-Ile	Trnai-aau	123473016	tRNA				
NC_059186.1	2819066	2819146	LG5	minus	tRNA-Ser	Trnas-cga	123473017	tRNA				
NC_059186.1	2819300	2819373	LG5	minus	tRNA-Ile	Trnai-aau	123473019	tRNA				
NC_059186.1	2819707	2819788	LG5	minus	tRNA-Ser	Trnas-cga	123473020	tRNA				
NC_059186.1	2821501	2823409	LG5	plus	solute carrier family 22 member 4-like	LOC123472436	123472436	protein-coding	XM_045173923.1	XP_045029858.1	425	
NC_059186.1	2824509	2826255	LG5	plus	uncharacterized LOC123472335, transcript variant X2	LOC123472335	123472335	lncRNA	XR_006646757.1			
NC_059186.1	2826778	2826859	LG5	minus	tRNA-Ser	Trnas-cga	116933530	tRNA				
NC_059186.1	2827013	2827086	LG5	minus	tRNA-Ile	Trnai-aau	116933531	tRNA				
NC_059186.1	2828494	2829447	LG5	plus	vegetative cell wall protein gp1-like	LOC116933512	116933512	protein-coding	XM_032941274.2	XP_032797165.1	230	
NC_059186.1	2837065	2838336	LG5	minus	uncharacterized protein LOC123472584	LOC123472584	123472584	protein-coding	XM_045174444.1	XP_045030379.1	423	
NC_059186.1	2841209	2843255	LG5	plus	uncharacterized protein LOC116933525	LOC116933525	116933525	protein-coding	XM_032941283.2	XP_032797174.2	439	
NC_059186.1	2849608	2850272	LG5	plus	uncharacterized LOC116933508	LOC116933508	116933508	lncRNA	XR_004400146.2			
NC_059186.1	2853248	2853728	LG5	minus	uncharacterized gene	LOC123472585	123472585	pseudogene				
NC_059186.1	2858758	2859100	LG5	minus	uncharacterized LOC116933509	LOC116933509	116933509	lncRNA	XR_004400147.2			
NC_059186.1	2859162	2860073	LG5	minus	uncharacterized protein LOC123472586	LOC123472586	123472586	protein-coding	XM_045174445.1	XP_045030380.1	208	
NC_059186.1	2863927	2865023	LG5	plus	uncharacterized protein LOC116933527	LOC116933527	116933527	protein-coding	XM_045174446.1	XP_045030381.1	215	
NC_059186.1	2865029	2865829	LG5	plus	uncharacterized protein LOC116933514	LOC116933514	116933514	protein-coding	XM_032941275.1	XP_032797166.1	145	
NC_059186.1	2873600	2875290	LG5	minus	uncharacterized protein LOC116916228	LOC116916228	116916228	protein-coding	XM_045174239.1	XP_045030174.1	253	
NC_059186.1	2875529	2881573	LG5	plus	trafficking protein particle complex subunit 9	LOC116933518	116933518	protein-coding	XM_032941278.2	XP_032797169.2	1319	
NC_059186.1	2881737	2882844	LG5	minus	uncharacterized LOC116933521	LOC116933521	116933521	lncRNA	XR_004400152.2			
NC_059186.1	2882998	2886618	LG5	plus	uncharacterized protein LOC116933517 isoform X1	LOC116933517	116933517	protein-coding	XM_032941276.2	XP_032797167.2	826	
NC_059186.1	2887863	2887935	LG5	plus	tRNA-Arg	Trnar-ccu	123473303	tRNA				
NC_059186.1	2891514	2893095	LG5	plus	protein ALP1-like	LOC116933523	116933523	protein-coding	XM_045174447.1	XP_045030382.1	349	
NC_059186.1	2896010	2897964	LG5	plus	uncharacterized LOC123472546	LOC123472546	123472546	lncRNA	XR_006647025.1			
NC_059186.1	2898859	2899799	LG5	minus	uncharacterized LOC116933524	LOC116933524	116933524	misc_RNA	XR_006647021.1			
NC_059186.1	2899719	2900849	LG5	plus	uncharacterized LOC123472547	LOC123472547	123472547	lncRNA	XR_006647026.1			
NC_059186.1	2901486	2902849	LG5	plus	uncharacterized protein LOC116933510	LOC116933510	116933510	protein-coding	XM_045174448.1	XP_045030383.1	391	
NC_059186.1	2904699	2908540	LG5	minus	uncharacterized protein LOC123466372	LOC123466372	123466372	protein-coding	XM_045174251.1	XP_045030186.1	404	
NC_059186.1	2915992	2918598	LG5	minus	uncharacterized protein LOC116916569	LOC116916569	116916569	protein-coding	XM_032921829.2	XP_032777720.2	757	
NC_059186.1	2918782	2921445	LG5	plus	uncharacterized protein LOC116916011 isoform X1	LOC116916011	116916011	protein-coding	XM_045174244.1	XP_045030179.1	483	
NC_059186.1	2921854	2924851	LG5	plus	uncharacterized protein LOC116918031	LOC116918031	116918031	protein-coding	XM_032923688.2	XP_032779579.2	289	
NC_059186.1	2925203	2939452	LG5	plus	uncharacterized protein LOC116916940	LOC116916940	116916940	protein-coding	XM_045174242.1	XP_045030177.1	1634	
NC_059186.1	2928656	2930358	LG5	plus	LOW QUALITY PROTEIN: speckle-type POZ protein B	LOC116934581	116934581	protein-coding	XM_045174449.1	XP_045030384.1	287	
NC_059186.1	2930946	2931018	LG5	plus	tRNA-Arg	Trnar-ccu	116934582	tRNA				
NC_059186.1	2931552	2933325	LG5	minus	uncharacterized protein LOC123472545	LOC123472545	123472545	protein-coding	XM_045174250.1	XP_045030185.1	201	
NC_059186.1	2939936	2942213	LG5	plus	uncharacterized LOC116916939, transcript variant X3	LOC116916939	116916939	lncRNA	XR_006647022.1			
NC_059186.1	2947962	2949543	LG5	plus	uncharacterized protein LOC123472587	LOC123472587	123472587	protein-coding	XM_045174450.1	XP_045030385.1	414	
NC_059186.1	2949560	2950311	LG5	plus	uncharacterized protein LOC123472544	LOC123472544	123472544	protein-coding	XM_045174248.1	XP_045030183.1	245	
NC_059186.1	2951414	2952441	LG5	plus	uncharacterized LOC116930799	LOC116930799	116930799	lncRNA	XR_004398567.2			
NC_059186.1	2962212	2964623	LG5	plus	uncharacterized LOC123472226	LOC123472226	123472226	lncRNA	XR_006646569.1			
NC_059186.1	2968811	2971457	LG5	plus	uncharacterized gene	LOC123472279	123472279	pseudogene				
NC_059186.1	2977010	2979132	LG5	minus	LOW QUALITY PROTEIN: uncharacterized protein LOC123472280	LOC123472280	123472280	protein-coding	XM_045173560.1	XP_045029495.1	630	
NC_059186.1	2979235	2983259	LG5	minus	uncharacterized protein LOC123472588	LOC123472588	123472588	protein-coding	XM_045174451.1	XP_045030386.1	1246	
NC_059186.1	2996911	3001268	LG5	minus	uncharacterized LOC116922381, transcript variant X2	LOC116922381	116922381	lncRNA	XR_004393985.2			
NC_059186.1	3002521	3004412	LG5	plus	28S ribosomal protein S10, mitochondrial isoform X1	LOC116922356	116922356	protein-coding	XM_032928757.2	XP_032784648.1	187	
NC_059186.1	3003725	3006340	LG5	minus	synaptobrevin-1 isoform X1	LOC116922365	116922365	protein-coding	XM_032928766.2	XP_032784657.1	133	
NC_059186.1	3007883	3011787	LG5	minus	uncharacterized protein LOC116922335	LOC116922335	116922335	protein-coding	XM_032928727.2	XP_032784618.2	381	
NC_059186.1	3014864	3016844	LG5	plus	glycine-rich protein DOT1-like	LOC123472660	123472660	protein-coding	XM_045174553.1	XP_045030488.1	321	
NC_059186.1	3018621	3021510	LG5	plus	uncharacterized LOC123472661, transcript variant X3	LOC123472661	123472661	lncRNA	XR_006647108.1			
NC_059186.1	3022572	3023702	LG5	minus	uncharacterized gene	LOC123466364	123466364	pseudogene				
NC_059186.1	3023795	3024682	LG5	plus	uncharacterized LOC123472662	LOC123472662	123472662	lncRNA	XR_006647111.1			
NC_059186.1	3025302	3030115	LG5	minus	uncharacterized LOC123472663, transcript variant X5	LOC123472663	123472663	lncRNA	XR_006647112.1			
NC_059186.1	3032730	3034321	LG5	plus	glycine-rich protein DOT1	LOC116922338	116922338	protein-coding	XM_032928731.2	XP_032784622.2	321	
NC_059186.1	3036013	3037762	LG5	plus	uncharacterized protein LOC123466300	LOC123466300	123466300	protein-coding	XM_045174555.1	XP_045030490.1	183	
NC_059186.1	3038901	3040468	LG5	plus	uncharacterized LOC116922375, transcript variant X3	LOC116922375	116922375	lncRNA	XR_004393971.2			
NC_059186.1	3042312	3043174	LG5	minus	uncharacterized gene	LOC123472664	123472664	pseudogene				
NC_059186.1	3044053	3047130	LG5	minus	uncharacterized LOC116934711	LOC116934711	116934711	lncRNA	XR_006647119.1			
NC_059186.1	3050179	3050663	LG5	plus	uncharacterized LOC123472225	LOC123472225	123472225	lncRNA	XR_006646568.1			
NC_059186.1	3051599	3054002	LG5	minus	uncharacterized protein LOC123472263	LOC123472263	123472263	protein-coding	XM_045173547.1	XP_045029482.1	217	
NC_059186.1	3055756	3056632	LG5	plus	uncharacterized LOC123472272	LOC123472272	123472272	lncRNA	XR_006646627.1			
NC_059186.1	3061027	3062211	LG5	plus	cytochrome P450 4c3	LOC116922314	116922314	protein-coding	XM_032928698.2	XP_032784589.2	256	
NC_059186.1	3062355	3063090	LG5	minus	uncharacterized LOC123472271	LOC123472271	123472271	lncRNA	XR_006646626.1			
NC_059186.1	3067676	3069872	LG5	plus	uncharacterized protein LOC116923890	LOC116923890	116923890	protein-coding	XM_032930450.2	XP_032786341.2	342	
NC_059186.1	3107346	3108461	LG5	plus	uncharacterized LOC116922270	LOC116922270	116922270	lncRNA	XR_004393932.2			
NC_059186.1	3111274	3112419	LG5	plus	uncharacterized protein LOC123472168	LOC123472168	123472168	protein-coding	XM_045173321.1	XP_045029256.1	138	
NC_059186.1	3116064	3121203	LG5	plus	E3 ubiquitin-protein ligase MIB2	LOC116922274	116922274	protein-coding	XM_032928652.2	XP_032784543.1	977	
NC_059186.1	3121903	3123484	LG5	minus	protein MAK16 homolog	LOC116922275	116922275	protein-coding	XM_032928653.2	XP_032784544.2	293	
NC_059186.1	3125362	3128013	LG5	minus	musculin isoform X1	LOC116922276	116922276	protein-coding	XM_032928654.2	XP_032784545.1	215	
NC_059186.1	3130568	3132843	LG5	minus	uncharacterized protein LOC116922278	LOC116922278	116922278	protein-coding	XM_032928656.2	XP_032784547.2	504	
NC_059186.1	3133803	3134831	LG5	plus	uncharacterized LOC123472202	LOC123472202	123472202	lncRNA	XR_006646542.1			
NC_059186.1	3135810	3136717	LG5	plus	uncharacterized LOC116922279	LOC116922279	116922279	lncRNA	XR_006646543.1			
NC_059186.1	3136807	3138186	LG5	plus	uncharacterized protein LOC123466354	LOC123466354	123466354	protein-coding	XM_045173437.1	XP_045029372.1	178	
NC_059186.1	3139340	3142124	LG5	minus	uncharacterized protein LOC116922280	LOC116922280	116922280	protein-coding	XM_045173438.1	XP_045029373.1	746	
NC_059186.1	3141830	3142605	LG5	plus	uncharacterized LOC116922281	LOC116922281	116922281	lncRNA	XR_006646541.1			
NC_059186.1	3144214	3144932	LG5	plus	uncharacterized gene	LOC123472589	123472589	pseudogene				
NC_059186.1	3151167	3154461	LG5	plus	uncharacterized protein LOC116922282	LOC116922282	116922282	protein-coding	XM_032928659.2	XP_032784550.2	723	
NC_059186.1	3159498	3162171	LG5	minus	uncharacterized gene	LOC116922283	116922283	pseudogene				
NC_059186.1	3165986	3168834	LG5	plus	LOW QUALITY PROTEIN: uncharacterized protein LOC116923313	LOC116923313	116923313	protein-coding	XM_045173436.1	XP_045029371.1	634	
NC_059186.1	3175669	3177543	LG5	minus	uncharacterized protein LOC116933635	LOC116933635	116933635	protein-coding	XM_032941369.2	XP_032797260.1	158	
NC_059186.1	3180724	3186036	LG5	plus	uncharacterized protein LOC116915755	LOC116915755	116915755	protein-coding	XM_045174452.1	XP_045030387.1	1770	
NC_059186.1	3192740	3194003	LG5	minus	uncharacterized LOC123472236	LOC123472236	123472236	lncRNA	XR_006646584.1			
NC_059186.1	3200973	3201094	LG5	plus	U5 spliceosomal RNA	LOC116933665	116933665	snRNA	XR_004400237.1			
NC_059186.1	3201532	3201694	LG5	plus	uncharacterized gene	LOC116933663	116933663	pseudogene				
NC_059186.1	3204950	3205143	LG5	plus	U2 spliceosomal RNA	LOC116933662	116933662	snRNA	XR_004400234.2			
NC_059186.1	3207503	3207644	LG5	minus	U4 spliceosomal RNA	LOC123472923	123472923	snRNA	XR_006647385.1			
NC_059186.1	3213748	3215963	LG5	minus	uncharacterized protein LOC123472343	LOC123472343	123472343	protein-coding	XM_045173734.1	XP_045029669.1	410	
NC_059186.1	3221371	3224864	LG5	minus	uncharacterized gene	LOC123472590	123472590	pseudogene				
NC_059186.1	3225789	3226512	LG5	minus	uncharacterized protein LOC123472235	LOC123472235	123472235	protein-coding	XM_045173484.1	XP_045029419.1	146	
NC_059186.1	3230154	3230333	LG5	minus	uncharacterized gene	LOC123472795	123472795	pseudogene				
NC_059186.1	3232450	3234234	LG5	minus	uncharacterized protein LOC123472591	LOC123472591	123472591	protein-coding	XM_045174453.1	XP_045030388.1	595	
NC_059186.1	3234750	3234929	LG5	minus	uncharacterized gene	LOC123472796	123472796	pseudogene				
NC_059186.1	3239423	3239520	LG5	minus	uncharacterized gene	LOC123472807	123472807	pseudogene				
NC_059186.1	3240073	3240295	LG5	minus	small nucleolar RNA U3	LOC123472814	123472814	snoRNA	XR_006647278.1			
NC_059186.1	3250696	3250837	LG5	minus	U4 spliceosomal RNA	LOC123472905	123472905	snRNA	XR_006647368.1			
NC_059186.1	3251472	3251545	LG5	plus	tRNA-Ile	Trnai-aau	116935598	tRNA				
NC_059186.1	3253557	3255335	LG5	minus	uncharacterized protein LOC116935590	LOC116935590	116935590	protein-coding	XM_032942880.2	XP_032798771.2	592	
NC_059186.1	3255854	3256649	LG5	minus	uncharacterized gene	LOC123472342	123472342	pseudogene				
NC_059186.1	3260854	3260935	LG5	plus	tRNA-Ser	Trnas-cga	116935599	tRNA				
NC_059186.1	3261496	3261577	LG5	plus	tRNA-Ser	Trnas-cga	116935600	tRNA				
NC_059186.1	3263692	3266151	LG5	plus	uncharacterized protein LOC116935594	LOC116935594	116935594	protein-coding	XM_045174454.1	XP_045030389.1	819	
NC_059186.1	3268458	3268531	LG5	plus	tRNA-Ile	Trnai-aau	116935601	tRNA				
NC_059186.1	3269453	3270570	LG5	minus	uncharacterized LOC116936330	LOC116936330	116936330	lncRNA	XR_006646475.1			
NC_059186.1	3273297	3274264	LG5	plus	uncharacterized protein LOC123472592	LOC123472592	123472592	protein-coding	XM_045174455.1	XP_045030390.1	309	
NC_059186.1	3275033	3275174	LG5	minus	U4 spliceosomal RNA	LOC123472895	123472895	snRNA	XR_006647358.1			
NC_059186.1	3275566	3275654	LG5	minus	tRNA-His	Trnah-gug	123473021	tRNA				
NC_059186.1	3281633	3281796	LG5	minus	U1 spliceosomal RNA	LOC123472694	123472694	snRNA	XR_006647175.1			
NC_059186.1	3282420	3282613	LG5	minus	U2 spliceosomal RNA	LOC123472772	123472772	snRNA	XR_006647252.1			
NC_059186.1	3282425	3284689	LG5	minus	uncharacterized protein LOC123472312	LOC123472312	123472312	protein-coding	XM_045173693.1	XP_045029628.1	644	
NC_059186.1	3284678	3286439	LG5	minus	uncharacterized gene	LOC123472593	123472593	pseudogene				
NC_059186.1	3286954	3287149	LG5	minus	U2 spliceosomal RNA	LOC123472812	123472812	snRNA	XR_006647276.1			
NC_059186.1	3287809	3288031	LG5	minus	small nucleolar RNA U3	LOC123472857	123472857	snoRNA	XR_006647321.1			
NC_059186.1	3289254	3289375	LG5	minus	U5 spliceosomal RNA	LOC123472956	123472956	snRNA	XR_006647417.1			
NC_059186.1	3289870	3290011	LG5	minus	U4 spliceosomal RNA	LOC116933664	116933664	snRNA	XR_004400236.2			
NC_059186.1	3290403	3290491	LG5	minus	tRNA-His	Trnah-gug	123473022	tRNA				
NC_059186.1	3290599	3290717	LG5	minus	5S ribosomal RNA	LOC123472888	123472888	rRNA	XR_006647351.1			
NC_059186.1	3290992	3291155	LG5	minus	U1 spliceosomal RNA	LOC123472719	123472719	snRNA	XR_006647200.1			
NC_059186.1	3291783	3291976	LG5	minus	U2 spliceosomal RNA	LOC123472783	123472783	snRNA	XR_006647263.1			
NC_059186.1	3294438	3294510	LG5	minus	uncharacterized gene	LOC123472810	123472810	pseudogene				
NC_059186.1	3295154	3295376	LG5	minus	small nucleolar RNA U3	LOC123472859	123472859	snoRNA	XR_006647323.1			
NC_059186.1	3299868	3304962	LG5	minus	uncharacterized protein LOC116926940	LOC116926940	116926940	protein-coding	XM_045173439.1	XP_045029374.1	764	
NC_059186.1	3311071	3313751	LG5	plus	uncharacterized protein LOC116926942	LOC116926942	116926942	protein-coding	XM_045174456.1	XP_045030391.1	585	
NC_059186.1	3314124	3314245	LG5	minus	U5 spliceosomal RNA	LOC123472980	123472980	snRNA	XR_006647442.1			
NC_059186.1	3314741	3314882	LG5	minus	U4 spliceosomal RNA	LOC123472896	123472896	snRNA	XR_006647359.1			
NC_059186.1	3315274	3315362	LG5	minus	tRNA-His	Trnah-gug	123473023	tRNA				
NC_059186.1	3315470	3315588	LG5	minus	5S ribosomal RNA	LOC123472899	123472899	rRNA	XR_006647362.1			
NC_059186.1	3315863	3316026	LG5	minus	U1 spliceosomal RNA	LOC123472721	123472721	snRNA	XR_006647202.1			
NC_059186.1	3316654	3316844	LG5	minus	U2 spliceosomal RNA	LOC123472735	123472735	snRNA	XR_006647215.1			
NC_059186.1	3317488	3317710	LG5	minus	small nucleolar RNA U3	LOC123472829	123472829	snoRNA	XR_006647293.1			
NC_059186.1	3318939	3319060	LG5	minus	U5 spliceosomal RNA	LOC123472957	123472957	snRNA	XR_006647418.1			
NC_059186.1	3319555	3319696	LG5	minus	U4 spliceosomal RNA	LOC123472897	123472897	snRNA	XR_006647360.1			
NC_059186.1	3320088	3320176	LG5	minus	tRNA-His	Trnah-gug	123473024	tRNA				
NC_059186.1	3320284	3320402	LG5	minus	5S ribosomal RNA	LOC123472910	123472910	rRNA	XR_006647373.1			
NC_059186.1	3320677	3320840	LG5	minus	U1 spliceosomal RNA	LOC123472695	123472695	snRNA	XR_006647176.1			
NC_059186.1	3321468	3321661	LG5	minus	U2 spliceosomal RNA	LOC123472786	123472786	snRNA	XR_006647266.1			
NC_059186.1	3321668	3323726	LG5	minus	uncharacterized protein LOC123472594	LOC123472594	123472594	protein-coding	XM_045174457.1	XP_045030392.1	668	
NC_059186.1	3323729	3325631	LG5	minus	uncharacterized protein LOC123472595	LOC123472595	123472595	protein-coding	XM_045174458.1	XP_045030393.1	580	
NC_059186.1	3326061	3326171	LG5	minus	uncharacterized gene	LOC123472797	123472797	pseudogene				
NC_059186.1	3326438	3326628	LG5	minus	U2 spliceosomal RNA	LOC123472736	123472736	snRNA	XR_006647216.1			
NC_059186.1	3327277	3327500	LG5	minus	small nucleolar RNA U3	LOC123472858	123472858	snoRNA	XR_006647322.1			
NC_059186.1	3333446	3334687	LG5	minus	uncharacterized protein K02A2.6-like	LOC123472596	123472596	protein-coding	XM_045174459.1	XP_045030394.1	413	
NC_059186.1	3346743	3348082	LG5	minus	uncharacterized protein LOC123472365	LOC123472365	123472365	protein-coding	XM_045173765.1	XP_045029700.1	293	
NC_059186.1	3348054	3349578	LG5	minus	LOW QUALITY PROTEIN: uncharacterized protein LOC123472597	LOC123472597	123472597	protein-coding	XM_045174460.1	XP_045030395.1	386	
NC_059186.1	3354255	3355470	LG5	plus	uncharacterized protein LOC123472283	LOC123472283	123472283	protein-coding	XM_045173569.1	XP_045029504.1	267	
NC_059186.1	3355493	3356322	LG5	plus	LOW QUALITY PROTEIN: histone H3.v1-like	LOC123472282	123472282	protein-coding	XM_045173568.1	XP_045029503.1	227	
NC_059186.1	3377592	3377733	LG5	minus	U4 spliceosomal RNA	LOC116924094	116924094	snRNA	XR_004394748.2			
NC_059186.1	3443452	3453782	LG5	minus	sodium- and chloride-dependent GABA transporter 1	LOC116923797	116923797	protein-coding	XM_032930333.2	XP_032786224.2	639	
NC_059186.1	3455059	3459268	LG5	minus	26S proteasome non-ATPase regulatory subunit 2	LOC116923631	116923631	protein-coding	XM_045173385.1	XP_045029320.1	929	
NC_059186.1	3461200	3462285	LG5	plus	uncharacterized LOC116923633	LOC116923633	116923633	lncRNA	XR_006646583.1			
NC_059186.1	3461840	3464131	LG5	minus	pre-mRNA-splicing factor 18 isoform X1	LOC116923632	116923632	protein-coding	XM_045173479.1	XP_045029414.1	356	
NC_059186.1	3477871	3478613	LG5	plus	uncharacterized protein LOC123472356	LOC123472356	123472356	protein-coding	XM_045173759.1	XP_045029694.1	185	
NC_059186.1	3478698	3479279	LG5	minus	uncharacterized LOC123472357	LOC123472357	123472357	lncRNA	XR_006646775.1			
NC_059186.1	3484249	3485113	LG5	minus	testis-specific gene A8 protein-like	LOC116923869	116923869	protein-coding	XM_032930438.1	XP_032786329.1	245	
NC_059186.1	3490817	3491281	LG5	minus	uncharacterized protein LOC123472665	LOC123472665	123472665	protein-coding	XM_045174556.1	XP_045030491.1	154	
NC_059186.1	3491743	3496788	LG5	minus	uncharacterized gene	LOC123472598	123472598	pseudogene				
NC_059186.1	3497351	3499372	LG5	minus	uncharacterized gene	LOC116923870	116923870	pseudogene				
NC_059186.1	3506405	3507817	LG5	minus	uncharacterized protein LOC116922366	LOC116922366	116922366	protein-coding	XM_032928769.2	XP_032784660.1	101	
NC_059186.1	3509598	3511019	LG5	minus	protein ANTAGONIST OF LIKE HETEROCHROMATIN PROTEIN 1	LOC116922337	116922337	protein-coding	XM_032928730.2	XP_032784621.2	361	
NC_059186.1	3540007	3541589	LG5	minus	uncharacterized protein LOC116922348 isoform X1	LOC116922348	116922348	protein-coding	XM_032928743.2	XP_032784634.1	239	
NC_059186.1	3545986	3549283	LG5	plus	uncharacterized LOC116922393	LOC116922393	116922393	lncRNA	XR_004394000.2			
NC_059186.1	3568299	3569480	LG5	plus	uncharacterized LOC123472300	LOC123472300	123472300	lncRNA	XR_006646693.1			
NC_059186.1	3588708	3593137	LG5	plus	uncharacterized gene	LOC123466411	123466411	pseudogene				
NC_059186.1	3593485	3599784	LG5	minus	LOW QUALITY PROTEIN: uncharacterized protein LOC116933528	LOC116933528	116933528	protein-coding	XM_045174461.1	XP_045030396.1	722	
NC_059186.1	3601801	3607485	LG5	plus	uncharacterized LOC123472254, transcript variant X5	LOC123472254	123472254	lncRNA	XR_006646605.1			
NC_059186.1	3611730	3613338	LG5	plus	uncharacterized protein LOC123472599	LOC123472599	123472599	protein-coding	XM_045174462.1	XP_045030397.1	467	
NC_059186.1	3615893	3616750	LG5	plus	uncharacterized LOC123472295	LOC123472295	123472295	lncRNA	XR_006646683.1			
NC_059186.1	3626530	3626919	LG5	minus	uncharacterized LOC123472197	LOC123472197	123472197	lncRNA	XR_006646490.1			
NC_059186.1	3627565	3631878	LG5	plus	uncharacterized LOC116922421	LOC116922421	116922421	lncRNA	XR_004394023.2			
NC_059186.1	3632461	3634182	LG5	minus	uncharacterized protein LOC116923796	LOC116923796	116923796	protein-coding	XM_032930332.2	XP_032786223.1	573	
NC_059186.1	3634610	3638369	LG5	plus	uncharacterized protein LOC116923795	LOC116923795	116923795	protein-coding	XM_032930331.2	XP_032786222.2	939	
NC_059186.1	3639841	3658904	LG5	plus	regulator of G-protein signaling 7 isoform X1	LOC116923625	116923625	protein-coding	XM_032930098.2	XP_032785989.2	557	
NC_059186.1	3658671	3660112	LG5	minus	phosphatidylinositol-glycan biosynthesis class F protein	LOC116923626	116923626	protein-coding	XM_032930099.2	XP_032785990.1	220	
NC_059186.1	3661869	3673822	LG5	plus	putative polypeptide N-acetylgalactosaminyltransferase 9 isoform X1	LOC116923630	116923630	protein-coding	XM_032930105.2	XP_032785996.2	622	
NC_059186.1	3687067	3687876	LG5	plus	uncharacterized protein K02A2.6-like	LOC116923377	116923377	protein-coding	XM_032929827.1	XP_032785718.1	269	
NC_059186.1	3744000	3746632	LG5	minus	uncharacterized gene	LOC123472314	123472314	pseudogene				
NC_059186.1	3749856	3751462	LG5	plus	uncharacterized protein LOC123472601	LOC123472601	123472601	protein-coding	XM_045174463.1	XP_045030398.1	292	
NC_059186.1	3751549	3753505	LG5	plus	uncharacterized protein LOC123472367	LOC123472367	123472367	protein-coding	XM_045173766.1	XP_045029701.1	464	
NC_059186.1	3758302	3761331	LG5	plus	uncharacterized protein LOC116936052	LOC116936052	116936052	protein-coding	XM_032943267.2	XP_032799158.2	979	
NC_059186.1	3776067	3777276	LG5	minus	uncharacterized protein LOC123472602	LOC123472602	123472602	protein-coding	XM_045174464.1	XP_045030399.1	379	
NC_059186.1	3777331	3779154	LG5	minus	uncharacterized protein LOC123472603	LOC123472603	123472603	protein-coding	XM_045174465.1	XP_045030400.1	607	
NC_059186.1	3779167	3780173	LG5	minus	uncharacterized gene	LOC123472604	123472604	pseudogene				
NC_059186.1	3876219	3876867	LG5	plus	uncharacterized LOC123472572	LOC123472572	123472572	lncRNA	XR_006647057.1			
NC_059186.1	3878525	3882739	LG5	minus	uncharacterized LOC123472574	LOC123472574	123472574	lncRNA	XR_006647060.1			
NC_059186.1	3882810	3884308	LG5	minus	uncharacterized LOC123472573, transcript variant X2	LOC123472573	123472573	lncRNA	XR_006647058.1			
NC_059186.1	3891593	3898955	LG5	minus	N-acetylglucosamine-6-sulfatase-like isoform X1	LOC123472575	123472575	protein-coding	XM_045174397.1	XP_045030332.1	602	
NC_059186.1	3899278	3901554	LG5	plus	39S ribosomal protein L52, mitochondrial isoform X2	LOC116922360	116922360	protein-coding	XM_032928761.2	XP_032784652.1	158	
